iter	MAE
0	0.09970192378
1	0.0992516641
2	0.09878819667
3	0.09846969601
4	0.09825792796
5	0.09797776428
6	0.09754282459
7	0.09721257801
8	0.09688182474
9	0.09678412527
10	0.09635003313
11	0.09608265122
12	0.09582764507
13	0.09555353222
14	0.09531524588
15	0.09499305703
16	0.09479916362
17	0.09455704924
18	0.09425858949
19	0.0939847227
20	0.0936801196
21	0.09345940324
22	0.09329222801
23	0.09315774748
24	0.09306473241
25	0.09287648713
26	0.09261311534
27	0.09240768035
28	0.09225655472
29	0.09200483349
30	0.0917679497
31	0.09160729131
32	0.0913949828
33	0.09113739761
34	0.09095098711
35	0.09077593203
36	0.09051585372
37	0.09032096072
38	0.09030660108
39	0.09020051483
40	0.09001516647
41	0.08984733873
42	0.08973231857
43	0.08953872148
44	0.08937153922
45	0.08918123308
46	0.08900903654
47	0.08891263483
48	0.08876804409
49	0.0886588122
50	0.088549178
51	0.0884120138
52	0.08833031777
53	0.08828499161
54	0.08816576514
55	0.08807515116
56	0.08795832551
57	0.08781658709
58	0.08767473028
59	0.08751992478
60	0.08750919622
61	0.08737969578
62	0.08725267517
63	0.08709493273
64	0.08698331628
65	0.08683377661
66	0.08672113078
67	0.0866732993
68	0.08660927862
69	0.08645019811
70	0.08631199648
71	0.08620096643
72	0.0860424805
73	0.08594511458
74	0.08582700396
75	0.08578913959
76	0.08564316998
77	0.08551244901
78	0.08541752416
79	0.08532851303
80	0.08523842053
81	0.08520379234
82	0.08514399829
83	0.08514121613
84	0.08501421104
85	0.08487779842
86	0.08478731214
87	0.08471204898
88	0.08460567542
89	0.0844845844
90	0.08438246782
91	0.08433684571
92	0.08426339546
93	0.08419684481
94	0.08413510989
95	0.08404725718
96	0.08396832216
97	0.08386443871
98	0.08377987972
99	0.08365214648
100	0.08365053753
101	0.08358694969
102	0.08349394355
103	0.08342874373
104	0.08334067124
105	0.08331194212
106	0.08322468705
107	0.08320644463
108	0.08309827546
109	0.08306696383
110	0.08300331067
111	0.08294253279
112	0.08288908678
113	0.08284863727
114	0.08279839145
115	0.08275375786
116	0.08274549303
117	0.08266288406
118	0.08262716225
119	0.08256781086
120	0.08251248562
121	0.08248439231
122	0.08241201974
123	0.0823538791
124	0.0822854427
125	0.08222543734
126	0.08215861838
127	0.08212913079
128	0.08202208089
129	0.08197685022
130	0.08191668973
131	0.08189921031
132	0.08184635358
133	0.08180881452
134	0.08173765417
135	0.08170415279
136	0.08168531008
137	0.08165780868
138	0.08163595178
139	0.08156850165
140	0.08152663428
141	0.08147166665
142	0.08142032903
143	0.08138556432
144	0.08134180035
145	0.08128170803
146	0.08124097244
147	0.08117327184
148	0.081143456
149	0.08109360592
150	0.08102990526
151	0.0809797606
152	0.08095775078
153	0.08090438137
154	0.08089890273
155	0.0808576619
156	0.08080448263
157	0.08076204369
158	0.08072669953
159	0.08068000609
160	0.08061481786
161	0.08054827321
162	0.08051637317
163	0.08046000451
164	0.08045739067
165	0.08039824905
166	0.08039557705
167	0.0803570859
168	0.08033291505
169	0.08032003415
170	0.08028358739
171	0.08027062154
172	0.08023443326
173	0.08016013104
174	0.08011078571
175	0.08001489319
176	0.0799760342
177	0.07993729841
178	0.07989601797
179	0.07983245795
180	0.07980494845
181	0.07977715434
182	0.07974813638
183	0.07974806287
184	0.07966893677
185	0.07960515066
186	0.07952918445
187	0.07948873592
188	0.07944637933
189	0.07941277122
190	0.07936864378
191	0.0793662672
192	0.07933186818
193	0.07931137991
194	0.07929656648
195	0.07927713934
196	0.07923561725
197	0.0792164372
198	0.07916679748
199	0.07914856071
200	0.07912683209
201	0.07908298639
202	0.07904887991
203	0.07901236245
204	0.07897222508
205	0.07890050349
206	0.07888529245
207	0.07888238971
208	0.07884324799
209	0.07881204441
210	0.07878366963
211	0.07875855143
212	0.07872367576
213	0.07869009511
214	0.07868665043
215	0.07864815112
216	0.07861026359
217	0.0785966486
218	0.07857255314
219	0.07853870737
220	0.07849522498
